,Date,AAPL,GOOG,META,MSFT
532,1983-01-20,0.166853,,,
533,1983-01-21,0.166853,,,
534,1983-01-24,0.157366,,,
535,1983-01-25,0.163504,,,
536,1983-01-26,0.170201,,,
537,1983-01-27,0.18192,,,
538,1983-01-28,0.183036,,,
539,1983-01-31,0.182478,,,
540,1983-02-01,0.186384,,,
541,1983-02-02,0.191406,,,
542,1983-02-03,0.199219,,,
543,1983-02-04,0.196429,,,
544,1983-02-07,0.188616,,,
545,1983-02-08,0.186942,,,
546,1983-02-09,0.188616,,,
547,1983-02-10,0.200893,,,
548,1983-02-11,0.207589,,,
549,1983-02-14,0.206473,,,
550,1983-02-15,0.202567,,,
551,1983-02-16,0.198661,,,
552,1983-02-17,0.196429,,,
553,1983-02-18,0.202567,,,
554,1983-02-22,0.207589,,,
555,1983-02-23,0.209263,,,
556,1983-02-24,0.214844,,,
557,1983-02-25,0.208705,,,
558,1983-02-28,0.203683,,,
559,1983-03-01,0.207031,,,
560,1983-03-02,0.208705,,,
561,1983-03-03,0.202009,,,
562,1983-03-04,0.199219,,,
563,1983-03-07,0.195313,,,
564,1983-03-08,0.189174,,,
565,1983-03-09,0.194754,,,
566,1983-03-10,0.191964,,,
567,1983-03-11,0.189174,,,
568,1983-03-14,0.18471,,,
569,1983-03-15,0.1875,,,
570,1983-03-16,0.1875,,,
571,1983-03-17,0.189174,,,
572,1983-03-18,0.191964,,,
573,1983-03-21,0.196429,,,
574,1983-03-22,0.198661,,,
575,1983-03-23,0.189174,,,
576,1983-03-24,0.192522,,,
577,1983-03-25,0.192522,,,
578,1983-03-28,0.189732,,,
579,1983-03-29,0.195313,,,
580,1983-03-30,0.197545,,,
581,1983-03-31,0.188616,,,
582,1983-04-04,0.183594,,,
583,1983-04-05,0.180246,,,
584,1983-04-06,0.178571,,,
585,1983-04-07,0.176897,,,
586,1983-04-08,0.175781,,,
587,1983-04-11,0.185826,,,
588,1983-04-12,0.189732,,,
589,1983-04-13,0.196429,,,
590,1983-04-14,0.200893,,,
591,1983-04-15,0.204241,,,
592,1983-04-18,0.209821,,,
593,1983-04-19,0.207589,,,
594,1983-04-20,0.226004,,,
595,1983-04-21,0.232143,,,
596,1983-04-22,0.227679,,,
597,1983-04-25,0.217076,,,
598,1983-04-26,0.223214,,,
599,1983-04-27,0.220982,,,
600,1983-04-28,0.223214,,,
601,1983-04-29,0.225446,,,
602,1983-05-02,0.21875,,,
603,1983-05-03,0.216518,,,
604,1983-05-04,0.229911,,,
605,1983-05-05,0.244978,,,
606,1983-05-06,0.246094,,,
607,1983-05-09,0.242746,,,
608,1983-05-10,0.24442,,,
609,1983-05-11,0.238281,,,
610,1983-05-12,0.236049,,,
611,1983-05-13,0.237165,,,
612,1983-05-16,0.231027,,,
613,1983-05-17,0.231585,,,
614,1983-05-18,0.234375,,,
615,1983-05-19,0.241629,,,
616,1983-05-20,0.253906,,,
617,1983-05-23,0.256696,,,
618,1983-05-24,0.270089,,,
619,1983-05-25,0.267857,,,
620,1983-05-26,0.265067,,,
621,1983-05-27,0.265067,,,
622,1983-05-31,0.257813,,,
623,1983-06-01,0.259487,,,
624,1983-06-02,0.261161,,,
625,1983-06-03,0.273996,,,
626,1983-06-06,0.280134,,,
627,1983-06-07,0.270647,,,
628,1983-06-08,0.267299,,,
629,1983-06-09,0.265625,,,
630,1983-06-10,0.264509,,,
631,1983-06-13,0.25558,,,
632,1983-06-14,0.25,,,
633,1983-06-15,0.242746,,,
634,1983-06-16,0.25558,,,
635,1983-06-17,0.250558,,,
636,1983-06-20,0.238281,,,
637,1983-06-21,0.239955,,,
638,1983-06-22,0.24721,,,
639,1983-06-23,0.239397,,,
640,1983-06-24,0.237723,,,
641,1983-06-27,0.224888,,,
642,1983-06-28,0.209263,,,
643,1983-06-29,0.219308,,,
644,1983-06-30,0.218192,,,
645,1983-07-01,0.219866,,,
646,1983-07-05,0.210938,,,
647,1983-07-06,0.211496,,,
648,1983-07-07,0.208705,,,
649,1983-07-08,0.206473,,,
650,1983-07-11,0.212054,,,
651,1983-07-12,0.207031,,,
652,1983-07-13,0.205915,,,
653,1983-07-14,0.205357,,,
654,1983-07-15,0.198103,,,
655,1983-07-18,0.197545,,,
656,1983-07-19,0.195313,,,
657,1983-07-20,0.184152,,,
658,1983-07-21,0.193638,,,
659,1983-07-22,0.195313,,,
660,1983-07-25,0.192522,,,
661,1983-07-26,0.174665,,,
662,1983-07-27,0.16183,,,
663,1983-07-28,0.151786,,,
664,1983-07-29,0.155692,,,
665,1983-08-01,0.154018,,,
666,1983-08-02,0.15346,,,
667,1983-08-03,0.155692,,,
668,1983-08-04,0.148438,,,
669,1983-08-05,0.151228,,,
670,1983-08-08,0.151786,,,
671,1983-08-09,0.15346,,,
672,1983-08-10,0.152902,,,
673,1983-08-11,0.15067,,,
674,1983-08-12,0.149554,,,
675,1983-08-15,0.15346,,,
676,1983-08-16,0.151228,,,
677,1983-08-17,0.147879,,,
678,1983-08-18,0.149554,,,
679,1983-08-19,0.15067,,,
680,1983-08-22,0.150112,,,
681,1983-08-23,0.142299,,,
682,1983-08-24,0.135045,,,
683,1983-08-25,0.136161,,,
684,1983-08-26,0.137835,,,
685,1983-08-29,0.139509,,,
686,1983-08-30,0.146763,,,
687,1983-08-31,0.166295,,,
688,1983-09-01,0.162388,,,
689,1983-09-02,0.169643,,,
690,1983-09-06,0.175781,,,
691,1983-09-07,0.154576,,,
692,1983-09-08,0.141741,,,
693,1983-09-09,0.136719,,,
694,1983-09-12,0.136719,,,
695,1983-09-13,0.142857,,,
696,1983-09-14,0.141183,,,
697,1983-09-15,0.134487,,,
698,1983-09-16,0.131138,,,
699,1983-09-19,0.142857,,,
700,1983-09-20,0.143415,,,
701,1983-09-21,0.140625,,,
702,1983-09-22,0.145089,,,
703,1983-09-23,0.108259,,,
704,1983-09-26,0.111049,,,
705,1983-09-27,0.104911,,,
706,1983-09-28,0.102121,,,
707,1983-09-29,0.101563,,,
708,1983-09-30,0.103237,,,
709,1983-10-03,0.103237,,,
710,1983-10-04,0.102121,,,
711,1983-10-05,0.100446,,,
712,1983-10-06,0.09933,,,
713,1983-10-07,0.09096,,,
714,1983-10-10,0.08817,,,
715,1983-10-11,0.086496,,,
716,1983-10-12,0.094308,,,
717,1983-10-13,0.102679,,,
718,1983-10-14,0.101563,,,
719,1983-10-17,0.09375,,,
720,1983-10-18,0.086496,,,
721,1983-10-19,0.095982,,,
722,1983-10-20,0.09096,,,
723,1983-10-21,0.088728,,,
724,1983-10-24,0.094308,,,
725,1983-10-25,0.094866,,,
726,1983-10-26,0.089844,,,
727,1983-10-27,0.094308,,,
728,1983-10-28,0.093192,,,
729,1983-10-31,0.101004,,,
730,1983-11-01,0.102679,,,
731,1983-11-02,0.104911,,,
732,1983-11-03,0.097656,,,
733,1983-11-04,0.094308,,,
734,1983-11-07,0.09375,,,
735,1983-11-08,0.079799,,,
736,1983-11-09,0.085938,,,
737,1983-11-10,0.087612,,,
738,1983-11-11,0.089286,,,
739,1983-11-14,0.08817,,,
740,1983-11-15,0.08817,,,
741,1983-11-16,0.089286,,,
742,1983-11-17,0.091518,,,
743,1983-11-18,0.092076,,,
744,1983-11-21,0.095982,,,
745,1983-11-22,0.095982,,,
746,1983-11-23,0.09096,,,
747,1983-11-25,0.091518,,,
748,1983-11-28,0.09375,,,
749,1983-11-29,0.092634,,,
750,1983-11-30,0.09096,,,
751,1983-12-01,0.090402,,,
752,1983-12-02,0.088728,,,
753,1983-12-05,0.09096,,,
754,1983-12-06,0.091518,,,
755,1983-12-07,0.09375,,,
756,1983-12-08,0.095982,,,
757,1983-12-09,0.09654,,,
758,1983-12-12,0.095982,,,
759,1983-12-13,0.100446,,,
